Product Name,Price,Image URL,Local Image Path,Product Page
Petal Waltz,$49.99 USD$54.99 USD,,product_images/Petal_Waltz.jpg,https://ersanails.com/collections/all/products/petal-waltz
Bloom in the Mist,$44.99 USD$49.99 USD,,product_images/Bloom_in_the_Mist.jpg,https://ersanails.com/collections/all/products/bloom-in-the-mist
Wild Blossom,$69.99 USD$79.99 USD,,product_images/Wild_Blossom.jpg,https://ersanails.com/collections/all/products/wild-blossom
Charming Petals,$49.99 USD,,product_images/Charming_Petals.jpg,https://ersanails.com/collections/all/products/charming-petals
True Blue,$49.99 USD,,product_images/True_Blue.jpg,https://ersanails.com/collections/all/products/true-blue
Nude Muse,$49.99 USD,,product_images/Nude_Muse.jpg,https://ersanails.com/collections/all/products/nude-muse
Emerald Cosmos,$39.99 USD,,product_images/Emerald_Cosmos.jpg,https://ersanails.com/collections/all/products/emerald-cosmos
Full Bloom,$49.99 USD$54.99 USD,,product_images/Full_Bloom.jpg,https://ersanails.com/collections/all/products/full-bloom
Purple Patch,$39.99 USD$49.99 USD,,product_images/Purple_Patch.jpg,https://ersanails.com/collections/all/products/purple-patch
Pearl of the Deep,$49.99 USD,,product_images/Pearl_of_the_Deep.jpg,https://ersanails.com/collections/all/products/pearl-of-the-deep
Petals in the Breeze,$49.99 USD,,product_images/Petals_in_the_Breeze.jpg,https://ersanails.com/collections/all/products/petals-in-the-breeze
Soft Spring,$139.99 USD$194.96 USD,,product_images/Soft_Spring.jpg,https://ersanails.com/collections/all/products/soft-spring
Sunset Swim,$144.99 USD$194.96 USD,,product_images/Sunset_Swim.jpg,https://ersanails.com/collections/all/products/sunset-swim
I'm the Best,$164.99 USD$224.96 USD,,product_images/Im_the_Best.jpg,https://ersanails.com/collections/all/products/im-the-best
Dressed to the Nines,$44.99 USD,,product_images/Dressed_to_the_Nines.jpg,https://ersanails.com/collections/all/products/dressed-to-the-nines
